flag	content
msgPrologue	序章的歌曲现在可以在自由游玩菜单中找到了
msgSayo	纱世里周的歌曲现在可以在自由游玩菜单中找到了
msgGFCount	<Q>GF倒数<Q> 已解锁<N>可以在设置中的解锁内容中打开
msgNat	夏树周的歌曲现在可以在自由游玩菜单中找到了
msgYuri	优里周的歌曲现在可以在自由游玩菜单中找到了
msgMonika	曲目<Q>和解<Q> 现在可以在自由游玩菜单中找到了
msgFestival	学园祭周的歌曲现在可以在自由游玩菜单中找到了
msgEncore	文学部周的歌曲现在可以在自由游玩菜单中找到了
msgProtag	主人公周的歌曲现在可以在自由游玩菜单中找到了
msgExtra1	曲目<Q>诗歌与荆棘<Q> 已解锁！<N>可以在自由游玩菜单中找到
msgExtra2	曲目<Q>双重毁灭<Q> 已解锁！<N>可以在自由游玩菜单中找到
msgEpiphany	顿悟<N>已解锁
msgMirror	镜像模式和随机箭头已解锁！<N> 现在可以在自由游玩的设置菜单中切换它们
msgLyrics	<Q>快回来！我还有一个惊喜要给你~<Q>
msgSide	支线故事已解锁！<N>在故事模式中享受精选并带有额外剧情的奖励歌曲！
msgCostume	服装选择已解锁！<N> 在自由游玩菜单中为每个角色尝试各种新服装！
msgExtra3	主人公的学园祭曲目已解锁！可以在自由游玩菜单中找到它
msgCredits	制作人名单已解锁<N>可以在主菜单上找到它
msgGallery	画廊现在可以在主菜单界面进入了！
msgVA11HallA	主菜单界面上<N>似乎有什么在晃动...
msgLibitina	在支线故事菜单中<N>发现了无法被识别的数据
