flag	content
bakaIntro1	<Q>哈哈！你能跟的上吗？<Q>
bakaIntro2	*咯咯笑*
bakaIntro3	<Q>Dee boo skeet~<Q>
bakaIntro4	<Q>啊啊啊-！别 再 说 我 可 爱 了！！！<Q>
bakaIntro5	<Q>何况是男生也说我可爱，那太尴尬了-<Q>
bakaIntro6	<Q>他是这里唯一的男生，夏树<Q>
bakaIntro7	<Q>好吧...我一直想请我的一个好朋友也加入这个社团，但我敢打赌那家伙只会加入动画部<Q>
bakaIntro8	<Q>我知道我应该尝试一些新的东西<Q>
bakaIntro9	<Q>幸运的是，我并不是只听这样的音乐<Q>
bakaIntro10	<Q>如果有人知道怎么颠覆人们的期望，那就是我<Q>
bakaIntro11	<Q>放音乐！<Q>
bakaEnd1	自从我来到这里，那些女孩就一直对我冷嘲热讽。我做错什么了吗？
bakaEnd2	啊，我想你注意到我亲爱的同学们了
bakaEnd3	我在这里有很多忠实的粉丝
bakaEnd4	当你是学校里最受欢迎的人时，这就见怪不怪了
bakaEnd5	看来他们都嫉妒你能这么快就能引起我的兴趣
bakaEnd6	他们会为了和我共度一个短暂的时刻而杀人，不幸的是，他们不值得我花时间，啊哈哈~
bakaEnd7那是... 嗯...
bakaEnd8你原来的地方一定有你自己的小粉丝群吧
bakaEnd9	有人说我会有，但就我个人而言，我在学校所做的一切都完全被忽视了
bakaEnd10	不过，我从来没有打算成为受欢迎的人，我只是想和任何想听的人分享我的激情
bakaEnd11	正因为如此，我遇到了一群了不起的朋友...
bakaEnd12	-啊！
bakaEnd13	（我刚刚是不是看到了-）
bakaEnd14	（但是为什么...）
bakaEnd15	你又怎么了，莫妮卡，你知道无论发生什么事你都可以告诉我吧
bakaEnd16	我很好…我很好！
bakaEnd17	没必要担心我，哈哈-
bakaEnd18	好吧，如果你坚持的话
bakaEnd19	既然如此，我想知道更多关于你来自哪里的信息，你可以继续用每一次的谈话来吸引我
bakaEnd20	好吧，我可以尽力做到
bakaEnd21	（是不是有些东西导致了这些的发生？）
bakaEnd22	（如果不是所有人都在的话那个游戏根本运行不了）
bakaEnd23	（如果出现问题-）
