flag	content
catIntro1	在文学部的一个看似正常的日子里…夏树向优里展示了她的快速歌唱技巧
catIntro2	<Q>哈，这个BF非常喜欢的“说唱”东西一点也不难！一直对着镜子唱歌确实得到了回报<Q>
catIntro3	<Q>速度如此之快，但仍然如此清晰和有节奏，我没见过这里有人能像你那样做到这一点，如果是我……我肯定会不知所措，把我的话搞砸的<Q>
catIntro4	<Q>嘿，不过你的歌声真的很好，更快并不总是意味着听起来更好<Q>
catIntro5	<Q>-但完成如此激烈的抒情壮举所需要更多的信心！我还没有达到那个水平！我被限制在更慢、更标准的旋律上<Q>
catIntro6	<Q>那怎么了？你让它们听起来很完美！如果我试着用你更深的音调唱歌，我的声音会很糟糕！<Q>
catIntro7	<Q>那不是真的！你会很容易就搞定的！你至少有信心去尝试！<Q>
catIntro8	<Q>天啊，优里，你已经接受了赞美！<Q>
catIntro9	<Q>贬低自己并不是一种赞美-！<Q>
catIntro10	<Q>你真的在做同样的事情！！！啊啊啊-！好的，我现在就要证明你简直大错特错！<Q>
catEnd1	<Q>哈...优里，你为什么不打快音符..？<Q>
catEnd2	<Q>（生气地说）我明白了...不过，我对你说的话是正确的，没有什么旋律对你来说太难了<Q>
catEnd3	<Q>嗯...你们一定筋疲力尽了，哦！来点茶和饼干怎么样？<Q>
catEnd4	<Q>嗯...听起来不错<Q>
catEnd5	<Q>那就...太好了<Q>
