flag	content
glitIntro1	<Q>有很多歌对我来说都很好<Q>
glitIntro2	<Q>我很高兴你甚至把所有的歌曲都编上了标题<Q>
glitIntro3	<Q>但这一首很特别...感觉就像是人们希望我唱的歌<Q>
glitIntro4	<Q>我想是因为这个名字<Q>
glitEnd1	<Q>啊哈哈<Q>
glitEnd2	<Q>我很感激你们两个来帮助我们表演<Q>
glitEnd3	<Q>我代表整个文学部向你表示感谢<Q>
glitEnd4	*愉快的表情*
glitEnd5	<Q>Skee yeah!<Q>
glitEnd6	<Q>……既然所有人都离开了，我有件事想问<Q>
glitEnd7	<Q>据我所闻，你不是“这里的人”<Q>
glitEnd8	<Q>你们可以很容易地进出这个游戏，所以我必须问...<Q>
glitEnd9	<Q>-有办法把我们带出去吗？<Q>
glitEnd10	<Q>我们在这个游戏里所能做的是非常有限的，无论发生什么，其他人都会幸福地不知道...<Q>
glitEnd11	<Q>-但如果他们有机会看到学校和家之外的东西，我想他们会非常开心的<Q>
glitEnd12	<Q>也许...<Q>
glitEnd13	<Q>-也许我终于可以找到我一直渴望的那个人，并与他面对面<Q>
glitEnd14	<Q>.…又或者-<Q>
