flag	content
habIntro1学园祭结束的几天后…莫妮卡独自站在学校的音乐室里
habIntro2	自从最近加入文学部的新成员向他们介绍唱歌以来，文学部占据了更多的空间
habIntro3	-以至于他们有时会比真正的音乐部更多地使用这个房间
habIntro4	莫妮卡独自一人思考着最近发生的一切
habIntro5	<Q>虚幻的事物变得多么美好，这貌似很不真实<Q>
habIntro6	<Q>在经历了之前的一切之后，我不知道我做了什么才值得这第二次机会……但我知道这次我会把事情做好的，为了我的朋友们<Q>
habIntro7	<Q>啊哈，那时当只剩下我的时候，我记得我告诉我爱的人，我多么希望有一天会有一个说唱歌手加入文学部<Q>
habIntro8	<Q>我没想到这真的发生了，他们拯救了我，给了我这个额外的机会，我对他们感激不尽<Q>
habIntro9	莫妮卡的思考被进入音乐室的脚步声打断了，一个熟悉的粉红色头发的人走了进来
habIntro10	<Q>啊，夏树！我很惊讶在这里看到你！我原以为你和其他人还在上课<Q>
habIntro11	<Q>我…我告诉我的老师我要上厕所，虽然我其实是想去找你<Q>
habIntro12	<Q>我最近一直在想…一些事情，我想和你谈谈这件事<Q>
habIntro13	<Q>我会洗耳恭听！你在想什么？<Q>
habIntro14	<Q>我…我觉得我跟不上你们了<Q>
habIntro15	<Q>哦？在哪方面？<Q>
habIntro16	<Q>我内心深处有一段时间有这种感觉，甚至早在我们四个人在部里的时候<Q>
habIntro17	<Q>现在文学部已经发展到七名成员，再加上唱歌……我觉得我无法与之竞争-！<Q>
habIntro18	<Q>每个人在唱歌方面都如此优秀，但我就是无法在所有的声音中脱颖而出<Q>
habIntro19	<Q>作为一个离家舒适的地方，文学部是我现在拥有的最好的东西之一，但这种被掩盖的感觉和我必须努力不被遗忘的想法-<Q>
habIntro20	<Q>夏树-我可以从心底向你保证，你是整个文学部最杰出的作家和歌手之一！<Q>
habIntro21	<Q>我不认为任何人能捕捉到你所做的每件事的独特风格，每个人都一样！<Q>
habIntro22	<Q>你在文学部留下的印象太特别了，我们不能忘记，我们永远不会把你排除在外<Q>
habIntro23	夏树交叉双臂，目光移开，表情不确定
habIntro24	<Q>我也能证明！来，我们为什么不快唱首歌？我可以向你保证，一旦你开始进入你的内心，你就会发现是什么让你如此特别<Q>
habEnd1	<Q>这就是我在说的！仅这些快速音符就让你脱颖而出，当你考虑到其他一切时，这就是你令人惊叹的个性！<Q>
habEnd2	<Q>…呵呵，这确实帮助我放松了心情<Q>
habEnd3	<Q>你知道吗，下次我见到那个“男朋友”，我会用他听过的最快的独奏来打击他！哈哈哈！<Q>
habEnd4	<Q>是的，去做吧！<Q>
habEnd5	<Q>我…真的很感谢你的帮助，莫妮卡<Q>
