flag	content
joyIntro1	<Q>嗯，夏树和优里都来过了，所以我想-<Q>
joyIntro2	音乐室的门打开的声音很快打断了莫妮卡的话
joyIntro3	很快，文学部的最后一位主要成员加入了进来，她的步伐充满了活力
joyIntro4	<Q>哈哈，正如我想的那样！我很高兴你也来看望我，纱世里<Q>
joyIntro5	<Q>啊，夏树和优里已经来了吗？？？我错过他们了吗？？？哇，我有一个激动人心的消息要分享！<Q>
joyIntro6	<Q>他们两个早些时候确实出现了，与我进行了一对一的交谈<Q>
joyIntro7	<Q>是什么让你现在情绪这么激动？你的笑容是我见过的最灿烂的笑容！<Q>
joyIntro8	<Q>呵呵，我没办法！我们最近所做的一切都令人惊叹！<Q>
joyIntro9	<Q>学园祭进行得很完美，现在我们有七位了不起的部员，他们都让彼此感到快乐和积极！<Q>
joyIntro10	<Q>这是我想要的一切：每个人都快乐，互相支持<Q>
joyIntro11	纱世里激动的举止冷静下来，变得更加庄重，但脸上仍然挂着真诚的微笑
joyIntro12	<Q>看到我们做了这么多好事……这让我有理由每天早上起床，因为我知道我们能够做到这一点<Q>
joyIntro13	<Q>我仍然很难一直把这些快乐的想法记在心里，但它正在一点一点地好转<Q>
joyIntro14	<Q>这让我每天都更加感激我们能够经营这家文学部<Q>
joyIntro15	朋友们传来的所有积极的消息和幸福也让莫妮卡激动不已
joyIntro16	当莫妮卡听着纱世里的话时，泪水夺眶而出
joyIntro17	在一阵忧郁的幸福中，莫妮卡走过来拥抱纱世里
joyIntro18	<Q>我…纱世里...我为你感到骄傲，你和我们在一起，让这个俱乐部成为现在的样子，意义重大<Q>
joyIntro19	<Q>它帮助了很多人…尤其是我，谢谢你…<Q>
joyIntro20	<Q>嗯……也谢谢你，莫妮卡<Q>
joyIntro21	过了一会儿，女孩们放下了拥抱，莫妮卡擦了擦眼泪，深吸了一口气
joyIntro22	<Q>啊哈-这将一个很大的音调转变，但当其他人早些时候来的时候，他们每个人都和我一起唱了一首歌<Q>
joyIntro23	<Q>如果能和你一起做同样的事情，我会很高兴<Q>
joyIntro24	<Q>你不需要告诉我两次！让我们唱起来！<Q>
