flag	content
ohIntro1	随着莫妮卡和纱世里歌曲的最后音符逐渐消失，优里和夏树走回音乐室，脸上都带着羞涩的微笑
ohIntro2	<Q>啊，我们错过了一场特别演出吗？<Q>
ohIntro3	<Q>呵呵，我们只是在用一首歌庆祝，有这么多伟大的事情，我们怎么能说不呢？<Q>
ohIntro4	<Q>不幸的是，我们不得不缩短庆祝活动，呵呵<Q>
ohIntro5	<Q>音乐部部长找到了优里和我，他们很快就要来这了<Q>
ohIntro6	<Q>这意味着差不多也到了我们社团活动的时候了<Q>
ohIntro7	<Q>我们一直在使用他们的空间，我确实感到很难过，但这里的声学效果令人惊叹，非常适合唱歌或大声思考<Q>
ohIntro8	<Q>社团活动开始之前，我们还有一点额外的时间，所以我有个主意！<Q>
ohIntro9	<Q>让我们一起唱歌！二重奏也许很好，但想象一下我们听起来会多么和谐！<Q>
ohIntro10	<Q>把我算在内，我比以往任何时候都更兴奋能做这件事<Q>
ohIntro11	<Q>嗯，我也很想加入<Q>
ohIntro12	<Q>你说呢，部长小姐？<Q>
ohIntro13	<Q>哈哈，我当然在！<Q>
ohIntro14	<Q>好的，各位！让我们开始吧！<Q>
ohEnd1	文学俱乐部的女孩们以欢声笑语结束了她们的歌曲，音乐室里充满了兴奋和欢乐
ohEnd2	<Q>真不敢相信我们等了这么久才一起唱歌！我想经常这样做！<Q>
ohEnd3	<Q>在社团活动期间，我们总是有足够的额外时间来继续唱歌，我非常兴奋能和大家一起唱更多的歌，我们一起听起来很棒！<Q>
ohEnd4	<Q>也许下次我们可以让其他三个人也加入我们<Q>
ohEnd5	<Q>我没有见过他们，你认为他们今天会出席社团活动吗？<Q>
ohEnd6	<Q>我们拭目以待<Q>
ohEnd7	<Q>事实上，我只是想起了-！纱世里，你不是有激动人心的消息想和我们分享吗？<Q>
ohEnd8	<Q>哦哦！对了！谢谢你提醒我！<Q>
ohEnd9	<Q>你们不会相信的，但你们知道我的朋友怎么一直拒绝和我们一起唱歌吗？<Q>
ohEnd10	<Q>我看到他和BF和GF在部室里，我发誓我听到他唱歌了！<Q>
ohEnd11	<Q>呵呵，他该屈服了，我会一直欺负那个家伙，直到他屈服为止<Q>
ohEnd12	<Q>我很惊讶他坚持这么长时间不唱歌，你认为如果我们现在都偷偷溜进去，我们会在中途抓到他吗？<Q>
ohEnd13	<Q>让我们去看看！去文学部！<Q>
