flag	content
recoIntro1	<Q>莫妮卡！我们一直在等你！<Q>
recoIntro2	<Q>这么迟来可不像你<Q>
recoIntro3	<Q>看来你带来了一些新成员<Q>
recoIntro4	<Q>真的吗，莫妮卡？你带来了一个男生？<Q>
recoIntro5	<Q>好吧，至少你也找到了另一个女孩<Q>
recoIntro6	（与你们其他人相比，她不会让我觉得自己很矮小）
recoIntro7	<Q>哦！我-<Q>
recoIntro8	*凝视*
recoIntro9	<Q>…你好，你们两个，已经有一段时间了<Q>
recoIntro10	<Q>Bep.<Q>
recoIntro11	<Q>我为我以前的所作所为感到抱歉<Q>
recoIntro12	<Q>我很抱歉在那不久后又不小心让你陷入了另一种危险的境地-<Q>
recoIntro13	<Q>-但现在我来了，一切都应该稳定下来了<Q>
recoIntro14	<Q>我不希望你原谅我…但我很高兴你们两个现在安全了<Q>
recoIntro15	<Q>Ska dee beep!<Q>
recoIntro16	<Q>啊哈哈...你不知道我听到这个有多高兴<Q>
recoIntro17	<Q>好的，各位!<Q>
recoIntro18	<Q>我想让你们认识一下文学部的最新成员！<Q>
recoIntro19	<Q>我有一个有趣的方式来介绍他们<Q>
recoIntro20	<Q>嘿，尽管刚刚发生了那么多紧张的事情-<Q>
recoIntro21	<Q>-你还有足够的精力再唱一首歌吗？<Q>
recoIntro22	<Q>Ska dee beep!<Q>
recoIntro23	<Q>那我们就开始吧！<Q>
