flag	content
svIntro1	夏树离开后不久，另一张熟悉的面孔走进了音乐室，确切地说，是一位“可爱的薰衣草女士”,
svIntro2	<Q>啊，希望我没有打断任何事情-<Q>
svIntro3	<Q>优里！不用担心，我只是四处走走，打发时间，直到我们的下一次社团活动<Q>
svIntro4	<Q>嗯...这对我来说可能有点奇怪，但…<Q>
svIntro5	<Q>-谢谢<Q>
svIntro6	<Q>哦？为何？<Q>
svIntro7	<Q>由于我们在文学部所做的一切，我感到不舒服……因为我试图在别人面前展示我所做的<Q>
svIntro8	<Q>作为一个文学部，我们一起做的事情越多，这种情况就越逐渐平息<Q>
svIntro9	<Q>写作，唱歌，和只是…说话，这一切给了我一个更好的选择…释放我的情绪<Q>
svIntro10	<Q>听到这个我很高兴，优里！我注意到你最近更多地走出了自己的舒适区，你自信的歌声总是令人愉快<Q>
svIntro11	<Q>知道这个文学部对你来说是一个自我提升的好地方，我听到这个消息非常高兴<Q>
svIntro12	优里中断了眼神交流，目光移开了一秒钟；她脸上露出腼腆的微笑<Q>,
svIntro13	<Q>我想用一些特别的东西来庆祝这个个人里程碑<Q>
svIntro14	<Q>我…写了一支我自己的歌，这是我写作能力的新领域，所以我想问你是否愿意在这里和我一起唱<Q>
svIntro15	<Q>在我给其他人看之前，我想做一点同行评审<Q>
svIntro16	<Q>奉陪到底！<Q>
svIntro17	<Q>我们可以开始了吗？我的声带已经热起来了！<Q>
svEnd1	<Q>哇，你已经是一个天才歌手了，其他人绝对会喜欢听的！<Q>
svEnd2	优里又一次害羞地把目光移开，咯咯地笑了起来<Q>,
svEnd3	<Q>呵呵呵…我很感激你给我时间<Q>
svEnd4	<Q>在我们下一次社团活动之前，我会自己排练<Q>
svEnd5	<Q>到时见，莫妮卡<Q>
