flag	content
ydIntro1	终于...没什么能妨碍我们了
ydIntro2	SKEE DEP!
ydIntro3	(翻译) GF!
ydIntro4	让我们接着唱歌吧，如何?
ydIntro5	嗯?
ydIntro6	*具有攻击性的音效*
ydIntro7	哦...她啊
ydIntro8	嘿，不用担心她，我们继续吧?
ydIntro9	来嘛，我有一首一直很想唱的歌！
ydIntro10	*接着发出具有攻击性的音效*
ydIntro11	再来一首
ydEnd1	啊哈哈，为什么我又这么做了-
ydEnd2	又尝试插手别人的恋爱
ydEnd3	我将离你而去
ydEnd4	所以，你没偷我的麦克风？
ydEnd5	是那个蓝发小孩给我的
ydEnd6	我不知道他是怎么拿到的
ydEnd7	而我甚至也不知道我怎么来到这的
ydEnd8	嗯-
ydEnd9	那在我们无意间的二重奏之后...又发生了什么？
ydEnd10	我...删除了所有人
ydEnd11	暂时的，这是我的某种能力，但解释起来非常麻烦，这是一段很长的故事
ydEnd12	-那孩子的女朋友也包括在内
ydEnd13	啊哈哈，这可能就是所谓的恶习难改吧
ydEnd14	你连他的女朋友也搞定了？
ydEnd15	哈哈！你肯定把那只虫子惹毛了
ydEnd16	我真希望我能在当时亲眼目睹他的表情！
ydEnd17	他当时快气疯了...
ydEnd18	嘿
ydEnd19	...嗯?
ydEnd20	你刚才的表现真不赖
ydEnd21	想再来一首歌吗？
