flag	content
msgPrologue	序章的歌曲现在可以在自由游玩菜单中找到
msgSayo	纱世里的歌曲现在可以在自由游玩菜单中找到
msgGFCount	<Q>GF倒数<Q> 已解锁<N>可以在设置中打开
msgNat	夏树的歌曲现在可以在自由游玩菜单中找到
msgYuri	优里的歌曲现在可以在自由游玩菜单中找到
msgMonika	<Q>和解<Q> 曲目现在可以在自由游玩菜单中找到
msgFestival	学园祭的歌曲现在可以在自由游玩菜单中找到
msgEncore	文学部周的歌曲现在可以在自由游玩菜单中找到
msgProtag	主人公的歌曲现在可以在自由游玩菜单中找到
msgExtra1	<Q>诗歌与荆棘<Q> 已解锁！<N>可以在自由游玩菜单中找到
msgExtra2	<Q>双重毁灭<Q> 已解锁！<N>可以在自由游玩菜单中找到
msgEpiphany	顿悟<N>已解锁
msgMirror	镜像模式和随机音符已解锁！<N> 在设置菜单中切换它们
msgLyrics	<Q>快回来！我还有一个惊喜要给你~<Q>
msgSide	支线故事已解锁！<N>在故事模式中享受精选的带有额外故事的奖励歌曲！
msgCostume	服装选择已解锁！<N> 在自由游玩菜单中为每个角色尝试各种新服装！
msgExtra3	主人公的学园祭歌曲已经解锁！可以在自由游玩菜单中找到它
msgCredits	制作人名单已解锁<N>可以在主菜单上找到它
msgGallery	画廊现在可以在主菜单上进入了！
msgVA11HallA	在主菜单上<N>有什么在晃动...
msgLibitina	在支线故事菜单中发现<N>无法被识别的数据
